,Pin Name,Ball,Pinctrl Register,Mode
uart3_txd,P9.21,B22,0x17C4,1
uart3_rxd,P9.22,A26,0x17C0,1
uart5_txd,P9.13,C17,0x1730,4
uart5_rxd,P9.11,B19,0x172C,4
uart5_ctsn,P8.05,AC9,0x178C,2
uart5_rtsn,P8.06,AC3,0x1790,2
uart8_txd,P8.37,A21,0x1738,3
uart8_rxd,P8.38,C18,0x1734,3
uart8_ctsn,P8.31,G16,0x173C,3
uart8_rtsn,P8.32,D17,0x1740,3
uart10_txd,P9.24,F20,0x168C,3
uart10_rxd,P9.26,E21,0x1688,3
uart10_ctsn,P8.03,AB8,0x179C,2
uart10_rtsn,P8.04,AB5,0x17A0,2
uart10_ctsn,P9.20,D2,0x1578,8
uart10_rtsn,P9.19,F4,0x157C,8
,,,,
pr2_uart0_txd,P8.31,C8,0x1614,10
pr2_uart0_rxd,P8.33,C6,0x1610,10
pr2_uart0_cts_n,P8.34,D8,0x1608,10
pr2_uart0_rts_n,P8.35,A5,0x160C,10
,,,,
pr1_uart0_rxd,P8.43,F10,0x15E4,10
pr1_uart0_txd,P8.44,G11,0x15E8,10
pr1_uart0_cts_n,P8.45,F11,0x15DC,10
pr1_uart0_rts_n,P8.46,G10,0x15E0,10
